persona_id,run_index,age,age_group,position,skill_level,coach_relationship,teammate_relationship,bullying,parent_support,current_mood,stress_level,overall_satisfaction,Q1_sat,Q1_imp,Q2_sat,Q2_imp,Q3_sat,Q3_imp,Q4_sat,Q4_imp,Q5_sat,Q5_imp,Q6_sat,Q6_imp,Q7_sat,Q7_imp,Q8_sat,Q8_imp,Q9_sat,Q9_imp,Q10_sat,Q10_imp,Q11_sat,Q11_imp,Q12_sat,Q12_imp,Q13_sat,Q13_imp,Q14_sat,Q14_imp,Q15_sat,Q15_imp,Q16_sat,Q16_imp,Q17_sat,Q17_imp,Q18_sat,Q18_imp,Q19_sat,Q19_imp,Q20_sat,Q20_imp,Q21_sat,Q21_imp,Q22_sat,Q22_imp,Q23_sat,Q23_imp,Q24_sat,Q24_imp,Q25_sat,Q25_imp,Q26_sat,Q26_imp,Q27_sat,Q27_imp,Q28_sat,Q28_imp,Q29_sat,Q29_imp,Q30_sat,Q30_imp,Q31_sat,Q31_imp,Q32_sat,Q32_imp,Q33_sat,Q33_imp,Q34_sat,Q34_imp,Q35_sat,Q35_imp,Q36_sat,Q36_imp,Q37_sat,Q37_imp,Q38_sat,Q38_imp,Q39_sat,Q39_imp,Q40_sat,Q40_imp,Q41_sat,Q41_imp,Q42_sat,Q42_imp,Q43_sat,Q43_imp,Q44_sat,Q44_imp,Q45_sat,Q45_imp,Q46_sat,Q46_imp,Q47_sat,Q47_imp,Q48_sat,Q48_imp,Q49_sat,Q49_imp,Q50_sat,Q50_imp,Q51_sat,Q51_imp,Q52_sat,Q52_imp,Q53_sat,Q53_imp,Q54_sat,Q54_imp,Q55_sat,Q55_imp,Q56_sat,Q56_imp,Q57_sat,Q57_imp,Q58_sat,Q58_imp,Q59_sat,Q59_imp,Q60_sat,Q60_imp,Q61_sat,Q61_imp,Q62_sat,Q62_imp,Q63_sat,Q63_imp,Q64_sat,Q64_imp,Q65_sat,Q65_imp,Q66_sat,Q66_imp,Q67_sat,Q67_imp
child_279,0,7,U8,midfielder,low,neutral,average,mild,medium,excited,43,45,9,9,10,10,8,8,7,8,6,9,9,10,8,9,9,10,8,9,7,8,7,8,6,7,7,8,7,8,7,8,8,9,6,8,7,8,6,7,5,8,5,8,7,8,6,7,7,8,8,9,8,9,9,10,7,8,9,10,9,10,6,8,7,9,8,9,7,9,6,8,8,9,6,7,5,6,4,5,9,10,7,8,9,10,6,7,7,8,8,9,6,7,8,9,9,9,10,10,6,7,8,9,7,8,8,9,5,6,5,6,4,5,5,6,7,8,6,7,4,5,6,7,8,9,4,5,6,7,9,10,7,8,8,9
child_280,0,10,U10,midfielder,high,neutral,average,mild,medium,excited,51,64,8,9,5,6,4,5,7,8,9,10,6,5,8,9,9,10,8,9,6,7,6,6,5,7,7,8,7,8,6,6,7,8,7,8,6,7,6,6,5,7,5,7,5,7,5,6,5,6,6,7,8,9,4,5,5,6,7,8,6,7,8,9,8,9,8,9,7,8,7,8,6,7,5,6,6,7,5,6,9,10,8,9,8,9,7,8,8,9,7,8,6,5,6,7,4,3,4,3,3,2,2,2,3,2,4,5,3,2,3,2,2,2,1,1,2,2,2,3,1,1,2,2,5,6,2,2,2,3,3,3,4,4,4,4
child_281,0,8,U9,mixed,low,neutral,average,none,low,excited,37,55,8,9,9,10,7,8,10,9,6,7,8,8,7,8,9,10,8,9,6,7,6,7,5,7,5,7,5,8,6,8,7,8,7,8,6,8,5,7,5,7,5,7,7,8,6,7,7,8,8,9,8,9,7,7,7,8,9,9,9,9,8,9,7,8,7,8,8,9,9,9,7,8,6,8,6,7,5,7,9,10,8,9,8,9,7,8,8,9,7,8,5,6,8,9,6,7,6,7,5,6,5,6,5,6,6,7,5,6,5,6,4,5,4,5,6,7,5,6,4,5,6,7,8,9,5,6,6,7,7,8,8,9,8,9
child_282,0,8,U7,defender,low,good,average,none,low,excited,43,71,9,8,6,7,5,6,7,9,8,9,7,5,8,8,9,9,9,8,8,9,7,8,8,8,8,8,9,9,8,7,9,9,9,8,8,7,8,7,9,9,9,9,7,8,6,7,6,5,7,8,8,7,6,6,7,8,8,7,7,6,8,9,7,8,8,8,8,9,7,8,7,8,6,7,8,7,7,6,9,9,8,8,8,8,7,8,8,9,7,7,6,6,7,7,6,5,6,5,5,4,6,5,6,5,8,7,5,4,5,4,4,3,3,2,5,5,4,4,3,2,5,5,7,7,5,4,6,6,7,8,8,8,8,8
child_283,0,9,U10,defender,high,good,average,none,medium,excited,43,93,9,8,10,9,7,8,8,9,9,10,8,7,8,9,10,10,9,9,9,8,8,8,9,9,8,8,9,9,9,8,8,9,9,8,8,8,9,8,9,8,9,8,8,8,7,7,9,8,8,9,10,9,8,8,8,8,9,8,9,8,9,9,8,9,8,9,8,9,8,9,9,8,8,7,8,7,7,7,10,10,9,9,9,9,8,8,9,9,9,9,7,6,8,7,8,6,9,6,7,6,7,5,6,5,8,7,7,5,7,5,6,4,5,3,6,5,5,5,4,4,7,5,8,7,5,4,6,5,8,7,8,8,9,9
child_284,0,7,U8,mixed,high,good,average,none,medium,frustrated,67,47,6,8,5,7,4,6,3,9,8,10,7,9,6,8,3,9,2,8,8,9,7,8,5,7,6,8,7,9,6,8,7,8,5,9,4,8,6,7,9,9,9,10,5,8,5,7,4,6,6,8,7,9,4,8,6,7,5,8,3,7,5,9,8,9,7,9,6,8,5,8,7,9,6,8,5,7,5,7,3,10,2,8,3,9,5,8,4,8,3,7,6,6,6,7,5,7,4,6,4,6,3,7,6,5,7,7,6,5,5,5,4,4,3,6,5,6,4,5,3,5,4,5,5,6,3,4,2,5,5,7,6,8,5,8
child_287,0,8,U9,mixed,medium,bad,average,mild,low,excited,43,11,8,8,6,7,5,6,7,8,9,9,6,5,7,9,9,10,8,9,2,8,2,7,2,6,3,8,3,9,2,6,5,8,2,8,3,7,4,6,1,8,1,9,6,8,5,7,5,6,6,7,7,8,5,5,6,7,6,8,7,8,8,9,8,9,7,9,7,8,8,9,6,7,6,7,5,6,5,6,9,10,8,9,9,9,8,7,7,8,8,9,5,6,6,7,4,5,4,5,3,4,3,4,4,4,5,5,5,5,4,4,3,3,2,2,4,5,3,3,2,2,6,6,7,7,5,5,6,7,5,6,5,5,5,5
child_288,0,8,U8,mixed,high,good,average,none,low,neutral,56,80,8,9,7,8,6,7,9,10,7,9,8,9,8,8,6,8,5,7,8,9,7,8,7,8,8,8,7,9,8,8,8,8,8,9,6,7,7,8,9,9,9,10,7,8,7,8,6,7,7,8,8,9,6,7,7,8,7,8,7,8,8,9,7,8,8,9,8,9,8,9,7,8,6,7,6,7,5,6,6,8,5,7,6,8,7,8,6,7,6,8,5,6,4,5,7,8,7,8,6,7,7,8,5,6,6,7,5,6,5,6,4,5,5,6,6,7,4,5,4,5,5,6,8,9,4,5,7,8,7,8,8,9,8,9
child_289,0,8,U9,midfielder,low,good,average,none,high,excited,25,100,9,8,8,8,7,7,10,9,9,10,10,9,8,9,10,10,9,9,9,10,9,10,9,10,8,9,8,9,9,10,9,9,9,9,9,10,8,9,10,10,10,10,8,9,7,8,9,9,8,9,9,10,8,9,8,9,9,9,10,10,9,9,9,10,8,9,9,10,10,10,9,9,9,9,8,8,7,7,10,10,9,9,10,10,8,9,10,10,9,9,8,7,9,9,8,7,9,8,8,7,9,8,7,6,9,9,7,6,6,5,5,4,6,5,9,8,6,5,5,4,8,7,9,8,5,4,9,8,10,10,9,8,10,10
child_290,0,10,U8,goalkeeper,high,neutral,isolated,none,high,frustrated,68,31,5,6,3,5,2,4,4,7,6,9,3,5,3,4,3,6,2,5,5,8,5,7,4,6,5,8,4,9,3,7,5,7,4,8,5,6,5,5,2,9,3,9,3,6,4,7,3,5,2,6,4,8,3,5,2,6,3,5,2,6,5,8,6,9,3,4,4,5,4,6,5,7,4,6,5,7,4,5,2,7,3,6,3,7,4,5,5,6,4,7,3,4,4,5,2,3,3,4,2,4,2,3,3,4,4,5,3,3,3,4,2,3,2,3,3,4,2,3,2,3,3,4,3,5,2,3,3,4,4,5,4,6,4,6
child_291,0,7,U8,defender,low,neutral,strong,none,low,excited,21,50,8,9,9,10,7,8,6,7,8,8,8,9,7,8,9,9,8,8,7,7,7,8,6,7,7,8,6,8,8,8,7,8,7,8,7,8,6,7,8,9,8,9,9,9,8,8,8,7,9,9,9,9,8,7,8,8,9,9,9,8,8,9,8,9,7,8,8,9,8,9,7,8,7,8,7,8,6,7,9,10,8,8,9,9,7,8,8,9,9,10,6,6,8,8,7,6,7,6,6,5,6,5,7,6,7,7,7,6,7,6,5,4,5,4,7,6,6,5,5,4,6,5,9,9,5,4,7,6,8,9,8,8,8,9
child_292,0,8,U9,goalkeeper,low,neutral,strong,frequent,high,excited,41,37,9,8,6,6,5,7,7,8,8,9,9,8,8,9,9,9,9,9,6,7,6,8,6,7,6,8,7,9,7,8,6,7,5,9,7,8,6,7,5,9,5,9,8,9,5,8,7,8,9,9,9,9,8,8,8,9,9,9,9,9,7,8,8,9,8,9,7,8,8,8,6,7,6,7,7,8,6,7,9,9,8,8,9,9,7,8,8,8,7,8,5,6,9,9,7,7,7,7,6,6,8,8,6,6,7,7,6,6,6,6,5,5,5,5,6,6,5,5,4,4,6,6,7,7,5,5,6,7,8,8,7,7,8,8
child_293,0,7,U7,forward,medium,bad,average,none,high,excited,36,45,8,8,9,9,7,7,6,8,8,9,9,9,8,8,9,10,9,9,2,10,3,9,3,8,3,8,2,9,3,9,4,7,1,9,2,8,3,7,1,10,1,10,6,9,7,8,8,9,7,8,9,10,8,8,7,9,8,9,8,9,6,8,7,9,8,9,7,8,6,8,6,8,5,7,5,6,4,5,9,10,7,8,8,9,7,7,8,9,7,8,6,5,9,9,9,8,9,8,6,7,8,9,5,5,5,5,5,5,5,5,4,4,5,5,7,7,6,6,4,4,6,5,8,8,5,5,7,6,9,9,8,8,8,8
child_294,0,9,U8,midfielder,high,neutral,isolated,none,low,anxious,54,26,8,10,7,9,4,8,6,7,7,8,3,6,7,9,5,7,4,6,6,7,5,8,5,7,6,8,5,9,3,5,6,8,6,7,5,6,6,7,6,8,7,9,3,8,4,7,4,6,3,7,4,8,3,5,5,6,4,7,4,6,7,9,6,8,7,9,5,7,6,8,6,8,5,7,6,7,5,6,5,7,5,6,4,7,5,6,5,8,5,8,4,6,3,5,2,5,3,5,2,4,2,3,2,4,3,6,3,4,3,4,2,3,1,2,2,4,2,3,1,2,2,5,3,7,2,3,2,4,1,3,4,7,3,6
child_295,0,8,U7,midfielder,medium,neutral,average,mild,low,neutral,51,42,7,8,8,9,6,7,9,10,5,9,8,8,6,8,5,10,4,9,6,7,6,8,5,7,6,8,5,9,5,8,6,7,5,8,5,7,6,6,4,8,5,9,6,8,5,7,4,7,7,8,7,8,6,8,5,7,5,8,5,8,7,9,6,9,6,8,7,8,8,9,5,7,6,8,5,6,4,5,5,10,4,8,5,9,5,6,6,8,5,7,5,4,5,7,8,9,8,9,6,5,7,8,6,5,6,7,5,6,5,5,4,3,4,4,7,8,5,6,4,3,5,6,8,8,6,5,7,7,7,8,6,7,6,7
child_296,0,9,U8,midfielder,medium,neutral,strong,none,low,happy,52,44,8,9,9,10,6,5,7,8,7,8,5,4,8,9,5,6,4,5,7,8,6,7,6,7,6,8,5,7,6,7,6,6,8,8,5,5,5,5,6,7,6,7,9,9,8,8,8,8,9,9,9,9,5,4,7,7,6,6,5,5,7,8,8,9,8,9,6,6,5,6,6,7,5,6,6,6,5,5,6,7,5,5,5,6,6,6,7,8,6,7,5,4,6,5,4,3,4,3,3,2,3,2,3,2,4,4,3,2,3,2,2,1,2,1,4,4,3,2,2,1,3,2,6,7,2,1,3,2,6,6,6,6,6,6
child_297,0,7,U10,goalkeeper,high,neutral,average,none,low,frustrated,55,14,6,7,7,9,5,6,4,8,8,9,5,5,7,8,3,8,2,7,6,8,5,7,4,7,5,8,6,9,5,8,7,9,6,7,5,8,5,7,4,9,5,9,6,8,5,7,4,6,5,8,7,9,3,5,4,7,3,6,2,5,7,8,8,9,6,8,6,8,7,9,7,8,5,6,6,8,5,7,2,9,3,8,4,7,5,8,5,8,6,7,4,5,3,6,4,5,4,5,3,4,3,4,3,3,4,5,3,3,3,3,3,2,2,2,3,3,3,4,2,2,4,5,6,7,3,4,2,3,3,4,5,6,5,7
child_298,0,8,U8,mixed,medium,neutral,isolated,none,high,neutral,59,22,6,7,5,9,4,8,6,8,7,10,3,6,5,8,7,9,6,8,5,7,5,8,5,7,6,8,4,8,4,7,7,9,6,8,4,7,5,6,3,8,4,9,3,6,4,7,3,6,4,8,5,8,3,5,4,6,3,6,3,5,6,8,7,9,6,8,5,8,6,7,5,7,6,7,4,6,4,5,5,9,4,8,5,9,5,6,7,8,6,7,5,4,5,7,3,5,4,5,4,6,3,4,3,3,5,6,3,2,3,2,2,3,3,4,3,5,2,2,2,3,4,5,5,8,2,4,3,4,6,8,5,7,5,7
child_299,0,9,U10,forward,low,good,average,none,high,excited,29,84,9,10,10,10,7,8,8,9,6,9,8,7,6,7,9,9,8,8,9,10,9,9,8,8,8,8,8,9,9,9,9,9,8,9,8,8,9,9,10,10,10,10,8,9,7,8,7,8,8,9,9,9,6,7,8,8,8,9,9,10,8,8,7,8,6,7,7,8,8,8,7,7,8,8,6,7,5,6,9,9,8,8,8,9,7,8,9,9,8,8,7,6,8,8,6,6,7,7,6,6,5,5,6,6,9,9,7,7,7,7,5,5,5,5,6,6,6,6,4,4,7,7,8,8,5,5,6,6,9,9,8,8,9,9
child_300,0,10,U7,midfielder,low,good,average,none,high,excited,48,74,8,10,7,9,4,5,7,8,8,9,6,5,7,9,9,10,9,9,9,10,8,9,9,10,8,9,8,9,9,10,7,8,9,10,8,9,7,8,9,10,9,10,6,7,6,7,7,8,6,7,8,9,5,6,6,7,8,9,7,8,8,10,8,9,7,9,7,8,7,8,7,8,6,7,6,7,5,6,9,10,8,9,9,10,8,9,7,8,8,9,6,5,8,8,5,4,5,4,5,5,4,3,5,4,8,8,5,4,5,4,4,3,3,2,4,3,4,3,3,2,4,3,7,8,4,3,4,3,6,7,6,7,7,8
child_301,0,10,U9,midfielder,high,good,average,mild,high,happy,47,94,9,9,10,10,8,8,7,6,8,9,9,10,7,8,6,7,5,6,9,9,8,8,9,9,8,8,7,8,9,9,7,7,9,8,6,7,8,7,9,9,9,9,7,7,6,6,7,7,8,9,8,8,9,10,8,8,9,9,9,10,6,6,7,7,8,9,7,8,7,7,6,7,5,6,5,5,5,5,6,8,5,6,6,8,7,7,6,7,7,8,6,5,8,8,10,9,9,8,7,6,9,9,6,5,8,8,7,7,6,6,5,5,7,6,9,8,7,7,5,5,6,6,9,9,5,5,8,8,9,9,7,7,8,8
child_302,0,10,U10,forward,high,good,strong,none,low,excited,37,81,9,8,10,10,7,6,8,9,8,8,9,7,6,5,9,10,8,9,8,7,8,7,9,8,9,8,8,8,9,7,8,7,9,8,7,6,8,7,9,8,9,8,9,8,8,7,9,8,10,9,9,9,8,7,9,8,10,9,10,9,8,8,9,9,6,5,7,6,9,8,7,6,8,7,7,6,6,5,10,10,9,8,9,8,8,7,9,8,8,7,7,6,8,7,6,5,7,6,5,4,5,4,6,5,8,7,7,6,6,5,5,4,4,3,6,5,5,4,4,3,5,4,8,7,4,3,5,4,7,6,7,6,7,6
child_303,0,10,U8,midfielder,medium,neutral,average,none,medium,frustrated,77,31,8,9,4,6,3,4,6,7,7,8,5,5,7,8,3,6,2,5,6,7,5,6,4,5,5,6,5,7,4,5,6,7,6,7,4,5,6,7,2,9,3,9,5,6,4,5,4,5,6,7,5,6,3,4,4,5,3,4,2,3,6,8,7,9,6,7,5,6,6,7,5,6,5,6,5,6,4,5,3,9,2,8,2,7,5,6,4,5,4,5,3,4,2,3,3,4,3,4,2,3,1,2,3,4,4,5,3,4,3,4,2,3,1,2,4,5,2,3,1,2,3,4,5,6,4,5,3,4,2,3,3,4,3,4
child_304,0,7,U9,mixed,medium,bad,average,none,high,frustrated,68,16,5,8,6,9,5,7,4,6,6,8,5,8,4,7,3,5,2,4,2,9,2,8,2,8,3,7,3,7,3,8,4,6,2,9,2,5,3,5,2,9,2,9,6,8,7,8,5,7,6,8,6,8,7,9,5,7,5,7,4,6,4,6,5,8,5,8,5,8,4,6,6,8,4,6,4,5,3,4,2,6,3,5,3,5,4,6,4,5,3,5,4,5,6,6,6,7,7,7,5,6,6,8,5,4,6,6,5,4,5,4,4,3,5,5,6,7,5,5,3,3,4,5,6,6,4,4,5,6,6,8,5,6,5,6
child_305,0,9,U8,midfielder,low,neutral,average,none,high,excited,41,68,8,9,6,5,5,4,7,8,7,9,7,6,8,8,9,9,8,8,6,7,6,7,5,6,6,7,7,8,6,7,7,8,7,8,6,7,6,6,7,8,7,8,7,7,6,6,7,6,7,7,8,8,5,5,6,6,8,7,7,7,8,9,7,8,8,8,7,8,7,9,6,7,6,7,7,6,7,6,9,10,8,9,8,9,6,6,7,8,8,9,5,5,8,7,5,4,5,4,4,3,4,3,5,5,6,6,5,5,5,5,3,2,3,2,4,3,4,3,2,1,6,6,7,7,5,4,4,5,6,7,7,8,7,8
child_306,0,9,U8,defender,medium,good,average,none,high,neutral,49,81,8,9,9,10,7,8,9,9,7,8,8,9,6,7,6,8,5,6,8,9,7,8,8,9,7,8,6,8,7,8,7,8,8,9,6,8,8,9,9,10,9,10,6,7,7,8,6,8,7,8,8,9,8,9,7,8,8,9,9,10,7,8,7,8,6,7,7,8,8,9,6,7,6,7,6,7,5,6,6,8,5,7,6,8,6,7,7,8,7,8,5,6,6,7,8,9,8,9,6,7,8,9,7,8,8,9,7,8,7,8,6,7,5,6,8,9,6,7,5,6,5,6,7,8,5,6,6,7,9,10,8,9,8,9
child_307,0,9,U9,forward,low,bad,strong,mild,high,excited,32,41,9,8,10,9,7,8,5,6,6,7,9,8,10,10,8,9,7,6,2,8,2,8,1,7,2,8,1,9,3,7,3,8,2,9,4,7,1,6,1,9,1,9,9,8,8,8,10,9,10,9,10,10,8,7,9,8,10,9,10,9,6,7,7,8,10,9,7,8,6,7,9,9,6,7,5,6,4,5,9,10,8,7,9,8,5,6,6,7,8,9,5,4,8,7,9,7,9,7,5,6,4,5,6,5,7,6,6,5,5,4,3,3,2,3,5,4,4,4,2,2,6,5,10,9,7,7,5,6,10,9,7,6,8,7
child_308,0,10,U8,midfielder,high,neutral,strong,none,low,happy,44,38,8,7,9,9,7,6,5,8,7,9,6,5,8,8,6,10,5,9,6,7,5,7,6,8,5,7,5,8,7,8,6,8,6,7,5,8,4,7,5,8,5,8,8,8,7,7,7,6,9,9,8,8,6,5,7,7,8,6,7,6,6,8,7,9,8,8,7,9,7,8,6,7,6,6,5,6,4,5,6,10,5,9,5,9,6,8,6,7,7,8,5,5,6,6,5,5,6,5,5,5,4,4,5,5,6,5,5,5,5,5,4,3,3,3,5,4,5,4,4,3,5,4,7,7,4,3,4,4,5,6,6,7,7,8
child_309,0,10,U9,midfielder,low,neutral,average,none,low,happy,45,39,8,9,8,9,7,7,6,8,5,8,9,10,7,8,6,7,5,6,6,7,6,7,5,6,6,7,6,7,6,7,7,8,7,8,5,6,5,6,5,6,6,7,7,8,6,7,6,7,7,8,8,8,8,9,6,7,7,8,7,8,6,8,7,8,7,8,7,8,6,7,7,8,6,7,5,6,4,5,5,6,5,6,5,6,5,6,5,6,6,7,6,5,5,5,8,9,8,9,6,7,7,8,6,6,6,7,6,5,6,5,5,5,4,4,8,9,7,7,5,5,7,8,8,9,6,6,6,7,8,9,7,8,7,8
child_310,0,9,U8,goalkeeper,high,good,average,mild,high,excited,56,76,9,9,10,10,8,8,7,8,9,9,10,9,9,8,10,10,10,10,8,9,8,9,9,9,8,8,9,9,9,8,7,8,9,8,8,9,8,8,9,9,9,9,7,8,6,8,6,7,8,9,9,9,8,9,8,9,9,10,9,10,8,8,9,9,8,9,9,9,8,8,7,8,8,8,7,7,6,6,10,10,9,9,10,10,8,8,9,9,9,9,7,6,10,10,9,8,9,8,7,7,8,8,6,5,8,8,7,6,6,5,5,4,4,3,8,7,7,6,5,4,6,5,10,9,6,5,8,8,9,9,10,10,10,10
child_313,0,7,U8,forward,low,neutral,average,none,high,neutral,64,61,8,9,7,6,6,5,7,8,6,7,8,9,7,8,6,5,5,4,6,6,6,7,5,7,5,6,5,7,7,6,6,7,7,8,5,6,6,5,6,6,6,6,7,7,7,6,7,7,6,7,7,8,6,5,7,8,7,6,6,5,7,8,6,7,7,8,6,7,7,6,6,6,6,7,5,5,5,5,6,7,5,5,6,7,6,6,7,7,6,7,5,4,6,5,8,7,8,7,6,6,6,6,5,5,7,6,5,5,5,5,4,3,4,3,7,6,6,6,3,2,6,5,7,7,5,4,6,5,7,8,6,6,6,7
child_314,0,9,U8,midfielder,medium,neutral,average,none,high,excited,40,66,9,9,8,8,7,7,8,9,8,8,9,10,9,8,9,10,9,9,7,8,7,8,7,8,8,8,8,9,7,8,8,9,7,9,7,8,6,7,5,8,6,9,8,9,7,8,7,8,8,9,8,9,8,9,7,8,8,9,9,10,8,9,8,9,9,9,8,8,8,8,8,9,8,9,7,8,6,7,9,10,8,9,9,10,7,8,9,10,8,9,6,7,8,8,9,9,9,9,7,8,8,9,6,7,7,8,5,6,5,6,4,5,3,4,6,7,7,8,3,4,5,6,8,9,5,6,7,8,9,10,7,8,8,9
child_315,0,10,U10,goalkeeper,medium,good,isolated,none,medium,frustrated,73,13,5,7,6,9,3,8,5,7,7,9,4,6,6,8,3,8,2,7,8,9,7,8,6,7,7,8,5,8,4,8,6,7,4,8,6,8,5,6,7,9,6,9,3,7,4,7,3,6,5,7,6,8,4,6,3,6,3,5,2,5,4,6,5,8,6,9,5,7,6,7,5,7,4,6,5,6,4,5,2,9,3,8,2,8,4,6,3,7,2,6,4,5,5,7,3,5,3,5,2,6,3,4,5,4,6,7,5,4,5,4,3,4,2,3,3,6,2,3,1,2,3,5,5,7,3,4,4,5,5,6,4,6,4,6
child_316,0,9,U9,midfielder,low,good,average,frequent,medium,excited,26,49,8,9,7,8,5,6,6,7,7,8,6,7,7,8,9,10,8,9,8,9,7,8,6,7,6,7,7,8,6,7,8,9,6,7,8,9,7,8,8,9,8,9,6,7,5,6,5,6,6,7,7,8,5,6,6,7,6,7,6,7,7,8,8,9,7,8,6,7,7,8,7,8,6,7,7,8,6,7,9,10,8,9,9,10,7,8,9,10,8,9,6,7,7,8,5,6,5,6,6,7,5,6,5,6,7,8,5,6,5,6,4,5,4,5,5,6,5,6,3,4,6,7,8,9,4,5,5,6,6,7,7,8,7,8
child_317,0,7,U10,forward,high,neutral,average,frequent,medium,happy,45,64,8,9,7,10,5,8,9,9,8,10,6,7,7,9,6,8,5,8,6,7,5,6,5,8,6,8,5,9,5,8,6,7,4,9,5,6,5,6,3,9,4,9,6,7,5,8,4,8,6,8,7,9,5,6,5,8,5,7,6,7,7,8,8,9,7,9,7,8,8,9,6,8,6,8,5,7,5,7,6,9,5,8,6,9,5,6,5,7,6,8,5,6,4,6,7,8,7,8,5,6,4,5,5,5,5,6,5,5,5,5,4,4,4,4,6,7,5,5,4,4,6,7,7,8,5,6,5,6,6,7,5,6,5,6
child_323,0,7,U10,mixed,high,good,strong,none,high,happy,29,97,9,9,10,10,8,9,7,8,9,8,10,10,8,9,7,9,6,7,9,9,9,9,10,9,8,8,9,9,10,9,8,8,9,9,8,8,7,7,9,9,9,9,10,10,9,8,9,9,10,10,9,9,10,9,9,8,10,9,10,9,8,8,9,9,8,9,8,8,7,8,8,8,7,7,6,7,6,6,8,9,7,8,8,9,7,7,9,8,9,9,7,6,9,8,10,10,10,9,9,8,10,10,8,7,9,9,7,6,7,6,6,5,8,7,9,8,8,7,5,4,7,6,9,9,6,5,8,7,10,10,8,7,9,9
child_324,0,7,U9,forward,medium,neutral,strong,none,high,neutral,48,73,8,9,9,10,7,8,6,7,7,8,9,10,8,8,6,7,5,6,6,7,6,7,7,8,7,8,7,8,6,8,6,8,6,8,6,7,6,7,6,7,7,7,9,10,8,9,7,8,9,10,9,10,8,9,8,8,8,9,7,8,6,8,7,9,8,8,7,9,5,6,7,8,6,8,6,7,5,6,5,6,5,6,5,6,6,7,6,7,6,7,5,5,7,8,8,9,8,9,7,8,8,9,6,6,7,8,6,6,6,6,5,5,5,5,6,7,5,5,5,5,5,5,8,9,6,6,6,7,8,9,7,8,8,9
child_325,0,8,U9,defender,high,good,average,none,low,frustrated,66,39,4,8,6,10,5,7,6,9,8,10,5,7,7,8,3,9,2,8,8,9,7,8,6,7,6,8,5,9,7,9,6,8,4,9,5,8,6,7,3,9,4,9,5,7,6,7,5,6,5,8,7,9,4,6,5,8,4,7,3,8,5,7,7,9,6,8,5,9,6,7,5,6,5,7,6,7,5,6,3,9,3,8,4,9,5,7,6,8,5,8,4,5,6,7,4,5,5,6,3,4,3,5,3,4,6,6,4,5,4,5,2,3,3,4,5,7,4,5,2,3,5,7,6,8,3,4,5,6,3,5,5,6,6,7
child_326,0,7,U8,goalkeeper,low,good,average,none,high,happy,56,71,8,9,9,10,7,8,6,7,6,8,7,8,8,9,6,6,5,5,9,9,8,8,8,8,8,8,7,8,9,9,8,8,8,9,7,7,8,8,9,9,9,9,7,7,8,8,6,6,7,8,8,9,6,7,8,8,7,8,6,7,7,8,6,8,8,9,6,7,6,7,7,8,6,7,5,6,5,5,5,6,5,5,6,7,6,6,7,7,6,7,6,5,8,8,7,7,6,6,5,6,7,7,6,5,8,8,7,6,6,5,5,4,6,5,6,6,5,5,4,3,6,6,8,8,5,5,5,5,8,9,7,7,8,8
child_327,0,10,U9,mixed,medium,neutral,strong,none,medium,neutral,48,55,7,8,8,9,6,6,6,7,7,9,8,6,7,8,6,9,5,7,6,7,6,7,6,8,6,8,7,9,6,7,7,8,6,8,6,7,6,7,5,8,5,8,8,8,7,7,6,7,8,8,8,9,6,6,7,7,7,7,7,7,7,8,6,8,7,8,6,8,6,8,6,7,6,7,5,6,5,6,6,9,5,8,6,8,7,7,7,8,7,8,5,5,6,6,6,6,6,6,5,5,5,5,5,5,6,6,5,5,5,5,4,4,4,4,5,5,5,5,4,4,5,5,6,6,4,4,5,5,7,8,5,6,6,7
child_328,0,8,U10,defender,medium,good,average,none,medium,frustrated,76,47,6,8,7,9,5,6,5,7,8,9,6,7,7,8,3,7,2,6,8,9,7,8,7,8,8,8,7,9,8,9,8,9,7,8,6,7,6,6,8,9,8,9,6,8,5,6,4,5,5,7,6,7,5,6,6,7,5,6,3,5,7,9,7,9,7,8,6,8,6,7,6,7,5,6,6,7,5,6,3,8,4,7,3,8,6,7,5,6,5,6,5,5,6,6,5,6,5,5,4,5,5,6,5,5,6,7,5,5,4,4,3,4,2,3,6,7,5,6,4,4,5,6,6,8,4,5,6,7,4,5,5,6,6,7
child_329,0,9,U9,midfielder,medium,neutral,average,mild,high,happy,49,55,8,9,9,8,7,7,7,8,6,7,9,9,5,6,7,8,5,6,6,8,6,8,6,8,6,8,5,8,5,7,6,8,7,9,6,7,6,7,5,8,6,8,6,8,5,7,6,7,8,9,8,9,7,8,6,7,7,8,7,8,7,8,6,8,5,6,6,7,7,8,6,7,6,8,6,7,5,6,6,7,5,6,6,7,5,7,6,7,6,7,5,6,7,8,8,9,8,9,7,7,7,8,6,6,7,8,6,6,6,6,5,5,5,5,6,7,6,6,5,5,5,5,6,7,5,5,6,7,8,9,7,8,8,9
